Date,Open
01/11/2018,14.15
02/11/2018,14.49
05/11/2018,14.27
06/11/2018,14.05
07/11/2018,14.32
08/11/2018,14.49
09/11/2018,14
12/11/2018,13.8
13/11/2018,13.57
14/11/2018,13.78
15/11/2018,13.54
16/11/2018,13.68
19/11/2018,13.71
20/11/2018,13.37
21/11/2018,13.58
23/11/2018,13.43
26/11/2018,13.79
27/11/2018,13.67
28/11/2018,13.65
29/11/2018,13.71
30/11/2018,13.51
03/12/2018,13.8
04/12/2018,13.6
06/12/2018,12.77
07/12/2018,12.76
10/12/2018,12.49
11/12/2018,12.62
12/12/2018,12.65
13/12/2018,12.74
14/12/2018,12.5
17/12/2018,12.4
18/12/2018,12.5
19/12/2018,12.52
20/12/2018,11.99
21/12/2018,12.09
24/12/2018,11.84
26/12/2018,11.81
27/12/2018,11.96
28/12/2018,12.49
31/12/2018,12.42
02/01/2019,12.25
03/01/2019,12.42
04/01/2019,12.67
07/01/2019,12.84
08/01/2019,13.04
09/01/2019,13.08
10/01/2019,13.02
11/01/2019,13.05
14/01/2019,13.03
15/01/2019,13.1
16/01/2019,13.36
17/01/2019,13.32
18/01/2019,13.57
22/01/2019,12.91
23/01/2019,13.18
24/01/2019,13.01
25/01/2019,13.07
28/01/2019,12.97
29/01/2019,13.09
30/01/2019,13.1
31/01/2019,12.91
01/02/2019,12.84
04/02/2019,12.77
05/02/2019,12.96
06/02/2019,13.04
07/02/2019,12.92
08/02/2019,12.65
11/02/2019,12.78
12/02/2019,12.74
13/02/2019,12.97
14/02/2019,12.72
15/02/2019,12.88
19/02/2019,12.7
20/02/2019,12.49
21/02/2019,12.29
22/02/2019,12.42
25/02/2019,12.5
26/02/2019,12.55
27/02/2019,12.63
28/02/2019,12.79
01/03/2019,12.76
04/03/2019,12.74
05/03/2019,12.51
06/03/2019,12.55
07/03/2019,12.15
08/03/2019,11.79
11/03/2019,12.1
12/03/2019,12.12
13/03/2019,12.19
14/03/2019,12.31
15/03/2019,12.13
18/03/2019,12.48
19/03/2019,12.71
20/03/2019,12.35
21/03/2019,12.2
22/03/2019,12.05
25/03/2019,11.88
26/03/2019,11.97
27/03/2019,12.14
28/03/2019,11.99
29/03/2019,12.14
01/04/2019,12.28
02/04/2019,12.38
03/04/2019,12.54
04/04/2019,12.55
05/04/2019,12.6
08/04/2019,12.53
09/04/2019,12.56
10/04/2019,12.49
11/04/2019,12.63
12/04/2019,12.92
15/04/2019,12.95
16/04/2019,13.02
17/04/2019,13.28
18/04/2019,13.28
22/04/2019,13.23
23/04/2019,13.11
24/04/2019,13.21
25/04/2019,13.25
26/04/2019,13.27
29/04/2019,13.42
30/04/2019,13.52
01/05/2019,13.4
02/05/2019,13.39
03/05/2019,13.36
06/05/2019,12.47
07/05/2019,12.3
08/05/2019,12.26
09/05/2019,11.98
10/05/2019,12.03
13/05/2019,11.8
14/05/2019,11.73
15/05/2019,11.71
16/05/2019,11.96
17/05/2019,11.9
20/05/2019,11.9
21/05/2019,12
22/05/2019,11.93
23/05/2019,11.68
24/05/2019,11.86
28/05/2019,11.78
29/05/2019,11.56
30/05/2019,11.66
31/05/2019,11.46
03/06/2019,11.33
04/06/2019,11.68
05/06/2019,11.85
06/06/2019,11.79
07/06/2019,11.84
10/06/2019,11.88
11/06/2019,11.97
12/06/2019,11.79
13/06/2019,11.71
14/06/2019,11.55
17/06/2019,11.56
18/06/2019,11.51
19/06/2019,11.78
20/06/2019,11.8
21/06/2019,11.7
24/06/2019,11.68
25/06/2019,11.57
26/06/2019,11.65
27/06/2019,11.91
28/06/2019,11.88
01/07/2019,12.05
02/07/2019,11.9
03/07/2019,12.01
05/07/2019,12.18
08/07/2019,12.02
09/07/2019,11.84
10/07/2019,12.13
11/07/2019,12.04
12/07/2019,12.2
15/07/2019,12.11
16/07/2019,12.19
17/07/2019,12.17
18/07/2019,12.05
19/07/2019,11.98
22/07/2019,12.09
23/07/2019,12.26
24/07/2019,11.75
25/07/2019,11.69
26/07/2019,11.46
29/07/2019,11.52
30/07/2019,11.22
31/07/2019,11.26
01/08/2019,11.15
02/08/2019,11.04
05/08/2019,11.08
06/08/2019,10.95
07/08/2019,10.68
08/08/2019,10.81
09/08/2019,10.9
12/08/2019,10.73
13/08/2019,10.52
14/08/2019,10.23
15/08/2019,10.22
16/08/2019,10.25
19/08/2019,10.52
20/08/2019,10.47
21/08/2019,10.55
22/08/2019,10.63
23/08/2019,10.63
26/08/2019,10.57
27/08/2019,10.61
28/08/2019,10.38
29/08/2019,10.57
30/08/2019,10.6
03/09/2019,10.54
04/09/2019,10.54
05/09/2019,10.76
06/09/2019,10.85
09/09/2019,11.05
10/09/2019,11.57
11/09/2019,11.52
12/09/2019,11.45
13/09/2019,11.77
16/09/2019,11.58
17/09/2019,11.39
18/09/2019,11.43
19/09/2019,11.56
20/09/2019,11.54
23/09/2019,11.27
24/09/2019,11.35
25/09/2019,11.13
26/09/2019,11.2
27/09/2019,11.31
30/09/2019,11.39
01/10/2019,11.3
02/10/2019,10.88
03/10/2019,10.61
04/10/2019,10.63
07/10/2019,10.74
08/10/2019,10.59
09/10/2019,10.6
10/10/2019,10.72
11/10/2019,11.1
14/10/2019,11.1
15/10/2019,11.13
16/10/2019,11.34
17/10/2019,11.36
18/10/2019,11.3
21/10/2019,11.6
22/10/2019,11.54
23/10/2019,11.61
24/10/2019,11.78
25/10/2019,11.74
28/10/2019,11.91
29/10/2019,12.04
30/10/2019,11.89
31/10/2019,11.79
01/11/2019,11.83
